,customer,real estate type,loan amount,mortgage collateral MV,additional collateral MV,additional collateral type,lgd
0,private,appartment,744456.5416784213,847320.6927815058,126617.33277566779,retirement account,0.11812859765419956
1,private,appartment,536702.7699549936,623787.9437232178,43489.45186194501,retirement account,0.0
2,private,appartment,314911.0810141962,382894.54665354645,0.0,none,0.0
3,private,appartment,1132685.6955258558,1337364.750817207,34221.45778281208,retirement account,0.0
4,private,appartment,746890.3603494092,949151.3238301006,0.0,none,0.0
5,private,appartment,328763.9672038946,393987.32835619966,4800.747628799473,retirement account,0.0
6,private,appartment,1584665.24861101,1720282.2146172964,234735.82839315222,retirement account,0.08933853902625129
7,private,appartment,1459244.352769807,1781597.6551685843,0.0,none,0.0
8,private,appartment,673557.7940222423,721060.3002908425,127765.97152765069,retirement account,0.0
9,private,appartment,288932.62291535886,331341.2487215899,45998.095270567464,retirement account,0.0
10,private,appartment,1238955.6461133468,1630136.770382848,0.0,none,0.0
11,private,appartment,583232.4463792141,714544.6586914932,0.0,none,0.0
12,private,appartment,688557.7899911548,818618.7165290762,32308.458524991933,retirement account,0.0
13,private,appartment,821362.7088462882,963654.0509434277,0.0,none,0.0759771617011499
14,private,appartment,267777.0751715785,316289.05156108976,24618.271863319078,retirement account,0.0
15,private,appartment,841558.3079585899,952646.6766833949,94225.04069805119,retirement account,0.0
16,private,appartment,707757.2541891993,817151.6815571537,138085.48757277275,retirement account,0.0
17,private,appartment,678524.8485985893,821533.5709740812,73885.11016310692,retirement account,0.0
18,private,appartment,500767.8559625192,720675.2902380041,0.0,none,0.0
19,private,appartment,792573.6099422126,1056173.7639508592,0.0,none,0.0
20,private,appartment,537146.3937883979,675747.7843351354,57989.94466636854,retirement account,0.056026730441034456
21,private,appartment,412829.0019242246,524556.434022712,0.0,none,0.0
22,private,appartment,794613.2094384228,1041273.1037450182,0.0,none,0.0
23,private,appartment,984143.1970068318,1175284.2487620108,89405.99896268609,retirement account,0.0
24,private,appartment,1093740.6178424002,1256012.81991154,84711.30059521041,retirement account,0.0
25,private,appartment,748900.6596537894,909517.8265827387,0.0,none,0.06969835427504434
26,private,appartment,554126.3438532135,687485.9299287864,0.0,none,0.009667129749776899
27,private,appartment,956898.136067891,1053909.3560439725,115534.87027060248,retirement account,0.0
28,private,appartment,544952.3640149285,661583.4177187661,0.0,none,0.13175796201475126
29,private,appartment,805968.4208083793,913948.7412973098,95479.79447898609,retirement account,0.046243506321635035
30,private,appartment,1423713.6614957973,1691342.039076431,115329.03690626024,retirement account,0.05951585988462525
31,private,appartment,1074632.0696537534,1211089.1518749811,193648.53525726238,retirement account,0.0
32,private,appartment,425053.74522538093,532191.208159886,0.0,none,0.0
33,private,appartment,1948990.2562653935,2344516.3217278644,107282.21504370635,retirement account,0.0
34,private,appartment,568359.4098402576,734411.3523697652,0.0,none,0.0
35,private,appartment,795769.7570228027,970720.5503666938,0.0,none,0.0
36,private,appartment,877735.8485200518,1150044.2524149641,0.0,none,0.0
